CONS_NO,FLAG,avg_consumption,median_consumption,std_consumption,min_consumption,max_consumption,zero_days,missing_days,zero_ratio,missing_ratio
0387DD8A07E07FDA6271170F86AD9151,1,0.9477961165048544,0.0,3.1015137683370235,0.0,18.29,862,4,0.8336557059961315,0.0038684719535783366
01D6177B5D4FFE0CABA9EF17DAFC2B84,1,4.606312056737589,0.955,7.107997187402005,0.0,44.57,50,188,0.048355899419729204,0.18181818181818182
4B75AC4F2D8434CFF62DB64D0BB43103,1,8.312549019607843,5.07,10.289866565810948,0.0,79.71,34,320,0.03288201160541586,0.30947775628626695
B32AC8CC6D5D805AC053557AB05F5343,1,3.638446411012783,0.0,7.999478547555743,0.0,40.98,797,17,0.7707930367504836,0.01644100580270793
EDFC78B07BA2908B3395C4EB2304665E,1,67.64971830985915,52.44,64.41158459802787,0.0,399.4,38,679,0.0367504835589942,0.6566731141199227
6BCFD78138BC72A9BA1BFB0B79382192,1,8.492053663570692,6.19,8.391047904225166,0.0,50.0,147,65,0.14216634429400388,0.06286266924564797
34C1954AA3703C4F8BD8EAEA7C4B7B83,1,10.501853188929,10.26,4.148401571412494,0.0,23.27,18,203,0.017408123791102514,0.19632495164410058
768309B0EB11FD436CEE5ABFB84F4C0C,1,6.703457394711067,6.37,3.174116936853503,0.0,22.57,7,13,0.006769825918762089,0.012572533849129593
D0A186208CE83FBCCF730857C9A75B6F,1,16.944037037037038,16.095,10.88155782690525,0.0,102.19,91,224,0.08800773694390715,0.21663442940038685
516954F5FF177CE314656D727FCC66A5,1,53.00961956521739,60.25,24.224308728421157,0.0,88.94,50,666,0.048355899419729204,0.6441005802707931
C7952FEE130E744EC8CAA7490F72D3F4,1,9.16981981981982,4.78,11.102731880133534,0.0,65.3,157,479,0.1518375241779497,0.4632495164410058
E34D1B467A365835A4A8AAD9395D49AA,1,0.15920969441517388,0.0,1.8224293806159073,0.0,32.35,919,85,0.8887814313346228,0.08220502901353965
9F61C13255D1183B179753742A24BFAD,1,3.2681924198250725,2.65,3.2801308514489644,0.0,14.96,258,5,0.2495164410058027,0.004835589941972921
F1D26619E4BC428924BAF5261F705D18,1,8.477509765625,4.25,11.393998272225184,0.0,63.1,245,10,0.2369439071566731,0.009671179883945842
EB2DCE9143BF42A1C7E5E218BB77B6A6,1,14.37486166007905,10.33,10.268523725739046,0.0,48.9,54,22,0.05222437137330754,0.02127659574468085
E89F2AD4B103F2E2045EE0F4E60429BC,1,14.29953629032258,15.82,8.700756476077094,0.0,43.01,176,42,0.1702127659574468,0.04061895551257253
441D4A577AAD02F6C003644640C2619C,1,0.14845330739299611,0.0,0.9586148319658944,0.0,18.8,923,6,0.8926499032882012,0.005802707930367505
A9601F29D6AE4544F52BD5CB56426E3F,1,25.37186943620178,24.95,10.765129053172148,0.0,74.67,23,23,0.022243713733075435,0.022243713733075435
93D2F9BC41BF6CAF05D11345D58C383A,1,8.953546910755149,7.76,7.779934524011691,0.0,67.03,62,597,0.059961315280464215,0.5773694390715667
369006719ADC2204345D5A156D19821D,1,11.332553606237818,6.535,11.781134266049452,0.0,65.36,63,8,0.0609284332688588,0.007736943907156673
720FAD7A2EA8095703804E9C897F159E,1,0.0,0.0,0.0,0.0,0.0,1033,1,0.9990328820116054,0.0009671179883945841
CFA8145DAF03AEC0B30D415E81F95937,1,0.08666666666666667,0.0,0.8773623240252841,0.0,14.98,772,158,0.746615087040619,0.1528046421663443
5C897FDAC2DB3B33B1EC83273F5F08C7,1,0.42478218780251703,0.0,1.654321383620055,0.0,22.64,604,1,0.5841392649903289,0.0009671179883945841
78AA6CB5B9C2AF38C3C0707C82834FB5,1,10.065817805383022,3.8899999999999997,14.303088231477993,0.0,89.69,47,68,0.045454545454545456,0.06576402321083172
BC0A840A5A34E044B9920F557D9A2111,1,14.222609254498712,15.56,8.085430053789024,0.0,36.62,117,256,0.11315280464216634,0.24758220502901354
51EAAC77A3247A422C4BF350D645EB88,1,4.779107662463628,0.0,7.670822210018814,0.0,41.71,678,3,0.655705996131528,0.0029013539651837525
D9C351E2175E2A50A7B699080D895D32,1,17.242721417069244,18.9,11.95127746585338,0.0,49.24,59,413,0.05705996131528046,0.3994197292069632
29682C581F0A0D250A15299ED45ABAAB,1,33.74397142857143,29.895,19.25965359486817,0.0,96.02,51,334,0.04932301740812379,0.3230174081237911
1AB6DF6673AF0D809B3FA523C1E7B2D0,1,4.581111111111111,0.0,7.183755341950902,0.0,43.75,589,8,0.5696324951644101,0.007736943907156673
