CONS_NO,FLAG,anomaly_label,anomaly_score
0387DD8A07E07FDA6271170F86AD9151,1,0,0.33110775846929985
01D6177B5D4FFE0CABA9EF17DAFC2B84,1,0,0.16209514534088248
4B75AC4F2D8434CFF62DB64D0BB43103,1,0,0.1670101397166034
B32AC8CC6D5D805AC053557AB05F5343,1,1,0.37002634218942704
EDFC78B07BA2908B3395C4EB2304665E,1,1,0.5296660564625351
6BCFD78138BC72A9BA1BFB0B79382192,1,0,0.12279043738984612
34C1954AA3703C4F8BD8EAEA7C4B7B83,1,0,0.055075165490612414
768309B0EB11FD436CEE5ABFB84F4C0C,1,0,0.0067317937420041975
D0A186208CE83FBCCF730857C9A75B6F,1,0,0.1877003788493016
516954F5FF177CE314656D727FCC66A5,1,1,0.4482882931628923
C7952FEE130E744EC8CAA7490F72D3F4,1,0,0.2326095957362986
E34D1B467A365835A4A8AAD9395D49AA,1,1,0.45171193314456587
9F61C13255D1183B179753742A24BFAD,1,0,0.10335247517798471
F1D26619E4BC428924BAF5261F705D18,1,0,0.18618424614329399
EB2DCE9143BF42A1C7E5E218BB77B6A6,1,0,0.07461677762511852
E89F2AD4B103F2E2045EE0F4E60429BC,1,0,0.1789217142395563
441D4A577AAD02F6C003644640C2619C,1,1,0.3723163565186196
A9601F29D6AE4544F52BD5CB56426E3F,1,0,0.15170406443528262
93D2F9BC41BF6CAF05D11345D58C383A,1,0,0.1720499425494714
369006719ADC2204345D5A156D19821D,1,0,0.0986459349881542
720FAD7A2EA8095703804E9C897F159E,1,0,0.32558521315697225
CFA8145DAF03AEC0B30D415E81F95937,1,1,0.41561188231487867
5C897FDAC2DB3B33B1EC83273F5F08C7,1,0,0.27957968169327313
78AA6CB5B9C2AF38C3C0707C82834FB5,1,0,0.17388682812350545
BC0A840A5A34E044B9920F557D9A2111,1,0,0.1809983129739161
51EAAC77A3247A422C4BF350D645EB88,1,1,0.34654335208492776
D9C351E2175E2A50A7B699080D895D32,1,0,0.1880134781327196
29682C581F0A0D250A15299ED45ABAAB,1,0,0.29806517999979193
1AB6DF6673AF0D809B3FA523C1E7B2D0,1,0,0.3005211521607028
CC729BD06C7E8086E700CCCDDDC6D1AA,1,0,0.16842132452476508
7343CAADA8D069F90EBED43D7119DE44,1,0,0.1777811959603498
F6345430CBBC081D1E522D23DC547D42,1,0,0.2531955146444854
7F8F1912B41BAC18D24EB382D9F3FA75,1,0,0.27673017427648994
49A61B0E884F41D891DEB63DB7840CD8,1,0,0.05688003389788551
564C77BEBFD6D10631BD7F7AF81D529B,1,1,0.3948627436773992
DD20733C633A11BBFD99DBF899816B00,1,0,0.2353587545013213
A115F9030C968DEBC5618C1359417029,1,0,0.08738208521689463
6DA2BD4913B637B27F7966BFF2404805,1,0,0.10217373353572998
5B214DB7CE265C5F8C644029A1A1076C,1,0,0.04372411748814989
4200327E5378E4CFB04D01982540A6CF,1,0,0.11173854134658222
1BC425A74948B48CED2DD171224E219C,1,1,0.6957846119841632
