source,target,weight
0,2081,0.9205425811301365
0,4739,0.9170147395720206
0,5155,0.9117403193593959
0,10252,0.8966389704790726
0,6724,0.8934501297980594
1,9777,0.8113664739408055
1,29096,0.8033448307870065
1,6253,0.7921546853984418
1,34363,0.7907224639379334
1,36198,0.7820391164823592
2,39540,0.8037998504240326
2,16421,0.7966146643896844
2,2133,0.7886843412952562
2,34266,0.7853532560645722
2,14247,0.7835921322760957
3,7988,0.9326044938626824
3,11742,0.9141768507921492
3,21951,0.9136437322021058
3,221,0.9134477439175757
3,5517,0.9103483353807048
4,34662,0.6941447028037683
4,37479,0.6277098019277687
4,40954,0.5986218522500198
4,17348,0.5811399896526798
4,25185,0.568437883693754
5,2864,0.8834218073822766
5,36148,0.841796398459731
5,20289,0.8362586465796878
5,30173,0.8309807114671249
5,2117,0.7928810815806291
6,23623,0.9015008060392811
6,22594,0.8832924646696785
6,27442,0.8638414542843446
6,35533,0.8626737606793111
6,29143,0.8614858845310923
7,361,0.963283227958826
7,3208,0.9520646342190087
7,22058,0.949510747721214
7,15820,0.9441011693137877
7,6265,0.943345735500796
8,21943,0.8233326898039238
8,1190,0.7904712514710727
8,40438,0.7898737583714405
8,22873,0.780914338569825
8,31951,0.7736920040743125
9,24040,0.7665164562665104
9,165,0.7153088894584251
9,95,0.7008674380120131
9,25702,0.6826090573410766
9,25597,0.6665288410119585
10,40230,0.8100025936159776
10,41597,0.7832093809278916
10,26686,0.7751865130604558
10,29786,0.7589389773906186
10,2509,0.7479515129116424
11,2992,0.8724067646448355
11,2383,0.8123850148117923
11,2896,0.8059193490200622
11,1856,0.7867515869676545
11,6131,0.7589910473207099
12,4892,0.909481640847227
12,5078,0.8686130190630295
12,23909,0.864428122455674
12,166,0.8634936640907697
12,14347,0.856138872308226
13,11886,0.8658711926903404
13,315,0.8373974744545902
13,1797,0.828994988531938
13,2497,0.8096449286733636
13,5043,0.8068845760091445
14,924,0.8792404623653726
14,451,0.8568334073906885
14,23452,0.8510003552178481
14,21327,0.8279795196122884
14,24897,0.8239142338718084
15,22915,0.8541531369372036
15,24760,0.8207948143713897
15,1994,0.8144163980476637
15,23540,0.8059838647291555
15,1358,0.7975729480155797
16,2244,0.8538812312656959
16,1973,0.8435996527052053
16,12154,0.8234172542816338
16,2799,0.819537064969979
16,6904,0.8112171672317801
17,25019,0.8852113770907173
17,12328,0.8749863353564875
17,25341,0.8737531686407384
17,22812,0.860017945527737
17,25080,0.8525442813578089
18,3188,0.8390359899179469
18,132,0.8368135369763576
18,29750,0.8048979647946108
18,11094,0.7898583792748157
18,192,0.7750385848736118
19,24488,0.8838828822416177
19,9853,0.8557173761511151
19,10649,0.8555664209274791
19,20575,0.8520240779797204
19,25417,0.8432118270792356
20,784,0.9999998807907247
20,597,0.9999998807907247
20,629,0.9999998807907247
20,326,0.9999998807907247
21,30982,0.8631574873800516
21,34100,0.7466899989714643
21,30570,0.7196248354961703
21,32929,0.7063826143706992
21,28907,0.7036814885125413
22,9182,0.8525143714866749
22,7650,0.8490484990671702
22,18300,0.8399958865156373
22,9080,0.8373535668591097
22,8126,0.7943694625062689
23,7688,0.8210384110017406
23,13333,0.8046270196883291
23,245,0.7819492948722873
23,1814,0.7759306004824353
23,10853,0.7655979103644961
24,359,0.8007110919135333
24,27691,0.7682151334152161
24,36790,0.7569406506195925
24,11241,0.7568617869361364
24,5413,0.7561754887340932
25,6630,0.8929021100592944
25,19919,0.8923048372552823
25,511,0.8919110145520023
25,1178,0.8774993311023239
25,16468,0.8734303366183781
26,21911,0.7619791361431879
26,17032,0.7581016664510901
26,3697,0.7406882267101104
26,30587,0.732395228492559
26,18645,0.7179685097251165
27,6827,0.7465669252976567
27,24821,0.738442771089078
27,25198,0.736855318810184
27,24941,0.7300015447778271
27,25428,0.7205941699440513
28,23824,0.9378897194675221
28,5762,0.9369578235779212
28,2152,0.9247015876662461
28,7883,0.9069769856760268
28,24303,0.8996803958683713
29,9837,0.8553327818469207
29,3912,0.8342184124030636
29,24286,0.8294111780476655
29,1212,0.828601594372114
29,18657,0.8216733711556304
30,12414,0.835026227136937
30,3830,0.8232900706074748
30,8534,0.822491016787873
30,279,0.818020360109431
30,16078,0.8023581091067633
31,34518,0.8247239038858948
31,6519,0.759964797261019
31,36026,0.7191230519276817
31,32997,0.6988481403939134
31,123,0.6957664573314007
32,3980,0.9079650775049846
32,2192,0.9069881656564243
32,11342,0.8953327679951666
32,6861,0.8641923841584088
32,13797,0.8489172213341116
33,10409,0.9099795256703126
33,9456,0.9070485442962785
33,1825,0.8946920248285969
33,3174,0.8912407056053517
33,16875,0.8894148671724578
34,1387,0.8870473858428273
34,7139,0.8823980694655713
34,3711,0.8819293927414498
34,1764,0.8769276109546439
34,2998,0.8614896832408824
35,34958,0.8396798948610087
35,41515,0.7985399329576907
35,15810,0.7560389511075503
35,5727,0.7102090103749503
35,37810,0.709715624627576
36,19231,0.9232808303789873
36,4095,0.9171967856224417
36,11128,0.9046021293222022
36,3359,0.8883665462473417
36,9905,0.8809517258302301
37,4112,0.8558325993699194
37,21943,0.850289643401239
37,30868,0.841919533719075
37,35420,0.8219182472517808
37,6626,0.8127076106375205
38,26679,0.9152232276687025
38,5254,0.885744001723301
38,530,0.8810438479429109
38,4012,0.868653708147259
38,35631,0.8684246581200882
39,29556,0.8511287519409516
39,32092,0.8341734331291989
39,19814,0.8255442426238052
39,33263,0.8028672543369313
39,8392,0.7950812533163886
40,277,0.5540625439103786
40,24551,0.472051103317901
40,7880,0.4139581961712698
40,13043,0.3870196098636702
40,11091,0.3852604731883549
41,17172,0.8616585352471791
41,13066,0.8524544847468781
41,26104,0.8431382071735705
41,703,0.836927595918401
41,29479,0.8309461023415918
42,168,0.824923279637604
42,11387,0.8160703970066162
42,11785,0.8053078025846501
42,6833,0.7865014263605307
42,9102,0.7856294019279279
43,24026,0.873765004471772
43,10355,0.8452074870200453
43,2779,0.837043756742324
43,4737,0.8353878610727001
43,5725,0.8310243415255858
44,10736,0.9152260557369188
44,1304,0.9113623751154033
44,4111,0.900214726645066
44,16949,0.8917108018562623
44,12866,0.8787431600903137
45,5232,0.8716155645234884
45,6539,0.8591515390458616
45,2213,0.8456610062648339
45,32619,0.8397501478423375
45,94,0.829968201104621
46,38212,0.6107032260190505
46,38696,0.5756834069348429
46,6669,0.5643094828734349
46,33307,0.5471736759919477
46,26851,0.5459535408198979
47,1046,0.9514492385506798
47,2245,0.9005024868474779
47,7609,0.8661689027876482
47,6512,0.8561072481891748
47,3391,0.8415990114171242
48,1543,0.8077792942457677
48,7525,0.80162559383957
48,4919,0.7849821919194135
48,25496,0.7848248487484842
48,9575,0.7738879474758453
49,33969,0.915710187853284
49,34227,0.8632260172683311
49,30090,0.8323755806660689
49,42076,0.8281167152289395
49,33578,0.8171572093385622
50,25819,0.8381184586584318
50,25785,0.765707481883302
50,517,0.7579488297369456
50,25679,0.7275622770630026
50,25810,0.6998108083729923
51,10508,0.9478781589338322
51,17125,0.8985288689475193
51,19210,0.8983503197173403
51,15847,0.8879879766454926
51,19796,0.8787963546671491
52,5415,0.9268059711579898
52,9254,0.9229567034723757
52,13773,0.9022091586289508
52,1859,0.9003486393806261
52,2968,0.8694207598850062
53,28255,0.799668554954881
53,8310,0.7366934234850533
53,8057,0.732833012908868
53,8120,0.7132184238836827
53,9349,0.7046121217586959
54,474,0.801215613756194
54,16869,0.7351717442878698
54,9164,0.7098525336845045
54,2721,0.7075277064028469
54,1579,0.7065331660868653
55,3601,0.8527343021319269
55,112,0.8231828944855684
55,515,0.7907825413702594
55,25152,0.7894890546745591
55,22765,0.7761560673539953
56,3118,0.7294876595882064
56,25679,0.6682896363224005
56,25807,0.6217961573741829
56,25813,0.5880977237362298
56,25785,0.5848233885490632
57,22192,0.7574472217699904
57,25617,0.7248395356831856
57,68,0.7148397405955688
57,17699,0.7112497411866244
57,25540,0.7052097503424214
58,4297,0.9258606012882865
58,6915,0.9160570324844427
58,13890,0.9112577232530353
58,2085,0.9058099402123237
58,2487,0.9021934024967244
59,25180,0.7427852403170867
59,8683,0.6945158993954199
59,439,0.6839823970043039
59,29808,0.6803831756276957
59,14174,0.6737335921088058
60,7401,0.8919687790827271
60,3542,0.8878059353890635
60,1920,0.8783984455857686
60,825,0.877805249573418
60,1960,0.8608935185422711
61,2969,0.9524638489027997
61,2243,0.8865404008474456
61,2515,0.8845623618776879
61,17375,0.8799818243411706
61,1577,0.8791968405778057
62,3298,0.8769492944994933
