CONS_NO,FLAG,avg_consumption,median_consumption,std_consumption,min_consumption,max_consumption,zero_days,missing_days,zero_ratio,missing_ratio,consumption_range,peak_to_average,coefficient_variation,median_to_average,min_to_average,max_to_median,zero_percentage,missing_percentage,stability_score,consumption_intensity
0387DD8A07E07FDA6271170F86AD9151,1,0.9477961165048544,0.0,3.1015137683370235,0.0,18.29,862,4,0.8336557059961315,0.0038684719535783,18.29,19.297399178472286,3.272342769006417,0.0,0.0,3.9021601016518423,83.36557059961315,0.38684719535783,0.2340636166307793,0.9441295938104449
01D6177B5D4FFE0CABA9EF17DAFC2B84,1,4.606312056737589,0.955,7.107997187402005,0.0,44.57,50,188,0.0483558994197292,0.1818181818181818,44.57,9.675853361868542,1.543099360149783,0.20732420822491493,0.0,46.67015706806283,4.83558994197292,18.18181818181818,0.39322097109925824,3.768800773694391
4B75AC4F2D8434CFF62DB64D0BB43103,1,8.312549019607843,5.07,10.289866565810948,0.0,79.71,34,320,0.0328820116054158,0.3094777562862669,79.71,9.589116384394018,1.23787138476284,0.6099212152663113,0.0,15.721893491124257,3.2882011605415795,30.94777562862669,0.4468532047054955,5.74
B32AC8CC6D5D805AC053557AB05F5343,1,3.638446411012783,0.0,7.999478547555743,0.0,40.98,797,17,0.7707930367504836,0.0164410058027079,40.98,11.263048941977676,2.198597325315296,0.0,0.0,3.9021601016518423,77.07930367504837,1.6441005802707898,0.31263704001922993,3.57862669245648
EDFC78B07BA2908B3395C4EB2304665E,1,67.64971830985915,52.44,64.41158459802787,0.0,399.4,38,679,0.0367504835589942,0.6566731141199227,399.4,5.903941804614907,0.952133818251844,0.7751695248723228,0.0,7.616323417238749,3.67504835589942,65.66731141199227,0.5122599642761736,23.22596711798839
6BCFD78138BC72A9BA1BFB0B79382192,1,8.492053663570692,6.19,8.391047904225166,0.0,50.0,147,65,0.1421663442940038,0.0628626692456479,50.0,5.887857281742173,0.988105850086791,0.7289167314796812,0.0,8.077544426494345,14.21663442940038,6.28626692456479,0.502991327124934,7.958220502901355
34C1954AA3703C4F8BD8EAEA7C4B7B83,1,10.501853188929,10.26,4.148401571412494,0.0,23.27,18,203,0.0174081237911025,0.1963249516441005,23.27,2.215799400484013,0.39501614589182393,0.9769704275447347,0.0,2.2680311890838207,1.74081237911025,19.63249516441005,0.7168375813748786,8.440077369439072
768309B0EB11FD436CEE5ABFB84F4C0C,1,6.703457394711067,6.37,3.174116936853503,0.0,22.57,7,13,0.006769825918762,0.0125725338491295,22.57,3.366919288217959,0.4735044544861039,0.9502559089919539,0.0,3.543171114599686,0.6769825918762,1.25725338491295,0.6786542089882976,6.619177949709864
D0A186208CE83FBCCF730857C9A75B6F,1,16.944037037037038,16.095,10.88155782690525,0.0,102.19,91,224,0.0880077369439071,0.2166344294003868,102.19,6.0310302542793375,0.6422057389935971,0.9498916913849293,0.0,6.349176762969867,8.80077369439071,21.663442940038678,0.6089370998135935,13.2733752417795
516954F5FF177CE314656D727FCC66A5,1,53.00961956521739,60.25,24.22430872842116,0.0,88.94,50,666,0.0483558994197292,0.6441005802707931,88.94,1.677808683206596,0.4569794864990146,1.136586161043371,0.0,1.4761825726141078,4.83558994197292,64.41005802707932,0.6863514615452181,18.866092843326882
C7952FEE130E744EC8CAA7490F72D3F4,1,9.16981981981982,4.78,11.102731880133534,0.0,65.3,157,479,0.1518375241779497,0.4632495164410058,65.3,7.121186815346072,1.210790626020359,0.5212752370192072,0.0,13.661087866108785,15.18375241779497,46.32495164410058,0.45232686814856754,4.921905222437138
E34D1B467A365835A4A8AAD9395D49AA,1,0.1592096944151738,0.0,1.8224293806159075,0.0,32.35,919,85,0.8887814313346228,0.0822050290135396,32.35,203.19114435104913,11.446723689221637,0.0,0.0,3.9021601016518423,88.87814313346229,8.22050290135396,0.0803424278523962,0.14612185686653764
9F61C13255D1183B179753742A24BFAD,1,3.2681924198250725,2.65,3.2801308514489644,0.0,14.96,258,5,0.2495164410058027,0.0048355899419729,14.96,4.577453857750739,1.0036529157682004,0.8108457702566482,0.0,5.645283018867925,24.95164410058027,0.48355899419729004,0.49908843599122055,3.2523887814313346
